time (ms), buffer_size
1712968039691.557, 4096
1712968039792.851, 8192
1712968039895.943, 8192
1712968040000.179, 12288
1712968040107.295, 16384
1712968040219.510, 16384
1712968040336.874, 20480
1712968040460.275, 24576
1712968040590.346, 24576
1712968040728.501, 28672
1712968040876.907, 28672
1712968041036.162, 32768
1712968041212.443, 32768
1712968041406.730, 36864
1712968041626.091, 36864
1712968041873.573, 36864
1712968042153.611, 36864
1712968042471.937, 36864
1712968042834.281, 36864
1712968043248.696, 36864
1712968043724.243, 32768
1712968044244.912, 32768
1712968044812.256, 28672
1712968045363.566, 24576
1712968045873.023, 20480
1712968046328.159, 20480
1712968046744.588, 20480
1712968047129.814, 16384
1712968047478.953, 16384
1712968047801.397, 16384
1712968048102.746, 16384
1712968048386.947, 16384
1712968048657.230, 16384
1712968048916.336, 20480
1712968049172.472, 20480
1712968049426.748, 20480
1712968049679.274, 20480
1712968049929.315, 20480
1712968050177.459, 24576
1712968050429.789, 24576
1712968050686.902, 24576
1712968050948.148, 24576
1712968051213.434, 24576
1712968051481.685, 24576
1712968051753.099, 28672
1712968052035.288, 28672
1712968052327.546, 28672
1712968052629.890, 28672
1712968052942.168, 28672
1712968053263.176, 28672
1712968053592.748, 28672
1712968053930.931, 28672
1712968054276.226, 28672
1712968054629.470, 24576
1712968054976.697, 24576
1712968055318.662, 24576
1712968055656.881, 24576
1712968055990.842, 24576
1712968056321.859, 24576
1712968056650.102, 24576
1712968056975.342, 24576
1712968057298.843, 24576
1712968057620.166, 24576
1712968057939.243, 24576
1712968058256.595, 24576
1712968058573.125, 24576
1712968058888.608, 24576
1712968059202.851, 24576
1712968059515.255, 24576
1712968059827.519, 24576
1712968060138.962, 24576
1712968060449.501, 24576
1712968060758.892, 24576
1712968061068.107, 24576
1712968061376.399, 24576
1712968061684.772, 24576
1712968061991.816, 24576
1712968062298.769, 24576
1712968062606.020, 24576
1712968062912.424, 24576
1712968063218.586, 24576
1712968063524.926, 24576
1712968063831.053, 24576
1712968064136.539, 24576
1712968064441.892, 24576
1712968064747.047, 24576
1712968065052.509, 24576
1712968065357.762, 24576
1712968065662.761, 24576
1712968065967.057, 24576
1712968066271.442, 24576
1712968066575.732, 24576
1712968066879.934, 24576
1712968067184.246, 24576
1712968067488.665, 24576
1712968067792.905, 24576
1712968068097.053, 24576
1712968068401.228, 24576
1712968068705.539, 24576
1712968069009.419, 24576
1712968069313.755, 24576
1712968069618.076, 28672
1712968069931.209, 28672
1712968070253.456, 24576
1712968070573.659, 24576
1712968070892.772, 24576
1712968071209.958, 24576
1712968071526.201, 24576
1712968071840.396, 24576
1712968072153.784, 24576
1712968072466.006, 24576
1712968072777.404, 24576
1712968073088.609, 24576
1712968073398.847, 24576
1712968073708.073, 24576
1712968074017.384, 24576
1712968074325.501, 24576
1712968074633.780, 24576
1712968074941.231, 28672
1712968075258.509, 24576
1712968075573.800, 24576
1712968075888.103, 24576
1712968076201.341, 24576
1712968076513.294, 24576
1712968076824.571, 24576
1712968077134.564, 24576
1712968077444.831, 28672
1712968077764.175, 24576
1712968078081.289, 24576
1712968078397.161, 24576
1712968078712.095, 24576
1712968079025.321, 24576
1712968079337.555, 24576
1712968079648.785, 24576
1712968079959.763, 24576
1712968080270.022, 24576
1712968080579.215, 24576
1712968080888.732, 24576
1712968081206.601, 24576
1712968081522.695, 24576
1712968081837.795, 24576
1712968082152.010, 24576
1712968082465.280, 24576
1712968082777.525, 24576
1712968083088.729, 24576
1712968083399.151, 24576
1712968083709.432, 24576
1712968084018.752, 24576
1712968084337.170, 24576
1712968084654.375, 24576
1712968084969.476, 24576
1712968085283.461, 24576
1712968085596.392, 24576
1712968085908.263, 24576
1712968086219.344, 24576
1712968086529.472, 24576
1712968086839.605, 24576
1712968087149.022, 24576
1712968087457.371, 28672
1712968087775.360, 24576
1712968088091.723, 24576
1712968088406.886, 24576
1712968088720.867, 24576
1712968089034.157, 24576
1712968089346.325, 24576
1712968089657.590, 24576
1712968089967.856, 24576
1712968090277.137, 28672
1712968090596.292, 24576
1712968090913.440, 24576
1712968091229.494, 24576
1712968091543.602, 24576
1712968091856.843, 24576
1712968092168.952, 24576
1712968092480.049, 24576
1712968092791.267, 24576
1712968093101.624, 24576
1712968093410.573, 24576
1712968093719.899, 28672
1712968094038.249, 24576
1712968094354.342, 24576
1712968094669.416, 24576
1712968094983.504, 24576
1712968095296.694, 24576
1712968095608.527, 24576
1712968095919.409, 24576
1712968096229.531, 24576
1712968096539.609, 24576
1712968096849.092, 28672
1712968097167.010, 24576
1712968097484.231, 24576
1712968097799.454, 24576
1712968098113.721, 24576
1712968098426.389, 24576
1712968098738.331, 24576
1712968099049.303, 24576
1712968099359.534, 24576
1712968099669.762, 24576
1712968099979.709, 28672
1712968100298.141, 24576
1712968100615.049, 24576
1712968100930.179, 24576
1712968101244.496, 24576
1712968101557.694, 24576
1712968101869.914, 24576
1712968102181.078, 24576
1712968102491.401, 24576
1712968102801.765, 24576
1712968103110.996, 28672
1712968103429.414, 24576
1712968103746.667, 24576
1712968104061.874, 24576
1712968104376.079, 24576
1712968104689.232, 24576
1712968105001.407, 24576
1712968105312.622, 24576
1712968105622.503, 24576
1712968105932.674, 24576
1712968106242.363, 24576
1712968106551.554, 28672
1712968106869.687, 24576
1712968107185.969, 24576
1712968107501.063, 24576
1712968107814.978, 24576
1712968108127.752, 23292
1712968108439.606, 19196
1712968108439.683, 19196
1712968108439.756, 19196
1712968108439.828, 19196
