time (ms), buffer_size
1712967118023.582, 4096
1712967118135.899, 8192
1712967118261.205, 8192
1712967118397.523, 12288
1712967118548.017, 12288
1712967118709.215, 16384
1712967118891.205, 16384
1712967119091.627, 20480
1712967119317.040, 20480
1712967119563.136, 20480
1712967119827.176, 20480
1712967120105.295, 20480
1712967120393.635, 24576
1712967120708.927, 24576
1712967121045.403, 20480
1712967121375.541, 20480
1712967121702.011, 20480
1712967122025.406, 20480
1712967122346.742, 20480
1712967122665.985, 20480
1712967122985.276, 20480
1712967123303.702, 20480
1712967123621.271, 20480
1712967123938.649, 20480
1712967124256.054, 20480
1712967124573.495, 20480
1712967124890.623, 20480
1712967125206.849, 20480
1712967125523.209, 20480
1712967125839.513, 20480
1712967126155.930, 20480
1712967126472.292, 20480
1712967126788.604, 20480
1712967127105.159, 20480
1712967127421.860, 20480
1712967127737.934, 20480
1712967128054.149, 20480
1712967128370.377, 20480
1712967128686.710, 20480
1712967129003.182, 20480
1712967129319.755, 20480
1712967129636.067, 20480
1712967129952.698, 20480
1712967130268.933, 20480
1712967130585.416, 20480
1712967130901.445, 20480
1712967131217.821, 20480
1712967131534.162, 20480
1712967131850.440, 20480
1712967132166.878, 20480
1712967132483.435, 20480
1712967132799.794, 20480
1712967133116.083, 20480
1712967133432.452, 20480
1712967133748.430, 20480
1712967134064.683, 20480
1712967134381.104, 20480
1712967134697.163, 20480
1712967135013.620, 20480
1712967135329.903, 20480
1712967135646.347, 20480
1712967135962.749, 20480
1712967136278.820, 20480
1712967136595.030, 20480
1712967136911.444, 20480
1712967137227.800, 20480
1712967137544.213, 20480
1712967137860.856, 20480
1712967138177.147, 20480
1712967138493.613, 20480
1712967138809.747, 20480
1712967139125.844, 20480
1712967139442.070, 20480
1712967139758.642, 20480
1712967140075.193, 20480
1712967140391.382, 20480
1712967140707.752, 20480
1712967141024.184, 20480
1712967141340.836, 20480
1712967141657.260, 20480
1712967141973.516, 20480
1712967142289.838, 20480
1712967142606.150, 20480
1712967142922.314, 20480
1712967143238.535, 20480
1712967143554.974, 20480
1712967143871.380, 20480
1712967144187.896, 20480
1712967144504.571, 20480
1712967144820.782, 16384
1712967145118.913, 20480
1712967145422.421, 20480
1712967145729.828, 20480
1712967146040.362, 20480
1712967146352.751, 20480
1712967146666.150, 20480
1712967146980.853, 20480
1712967147296.257, 20480
1712967147611.421, 20480
1712967147926.590, 20480
1712967148242.732, 20480
1712967148558.826, 20480
1712967148875.104, 20480
1712967149191.447, 20480
1712967149507.735, 20480
1712967149823.915, 20480
1712967150140.119, 16384
1712967150437.502, 20480
1712967150740.758, 20480
1712967151047.854, 20480
1712967151358.165, 20480
1712967151670.722, 20480
1712967151984.089, 20480
1712967152298.348, 20480
1712967152613.713, 20480
1712967152929.143, 20480
1712967153244.406, 20480
1712967153560.952, 20480
1712967153877.217, 20480
1712967154193.626, 20480
1712967154509.836, 20480
1712967154825.915, 20480
1712967155142.446, 20480
1712967155458.658, 20480
1712967155774.903, 16384
1712967156073.208, 20480
1712967156376.627, 20480
1712967156683.849, 20480
1712967156994.145, 20480
1712967157306.314, 20480
1712967157620.008, 20480
1712967157934.328, 20480
1712967158249.808, 20480
1712967158565.223, 20480
1712967158880.554, 20480
1712967159197.100, 20480
1712967159513.661, 20480
1712967159829.817, 20480
1712967160146.140, 20480
1712967160462.330, 20480
1712967160778.877, 20480
1712967161095.192, 16384
1712967161392.686, 20480
1712967161696.188, 20480
1712967162003.408, 20480
1712967162313.758, 20480
1712967162625.785, 20480
1712967162939.137, 20480
1712967163253.541, 20480
1712967163568.859, 20480
1712967163884.214, 20480
1712967164199.698, 20480
1712967164515.981, 20480
1712967164832.162, 20480
1712967165148.690, 20480
1712967165465.241, 20480
1712967165781.557, 20480
1712967166097.855, 20480
1712967166414.012, 20480
1712967166730.247, 16384
1712967167028.524, 20480
1712967167331.516, 20480
1712967167638.776, 20480
1712967167949.052, 20480
1712967168261.264, 20480
1712967168574.426, 20480
1712967168888.720, 20480
1712967169204.013, 20480
1712967169519.381, 20480
1712967169834.547, 20480
1712967170150.990, 20480
1712967170467.163, 20480
1712967170783.390, 20480
1712967171099.461, 20480
1712967171415.528, 20480
1712967171731.926, 20480
1712967172048.362, 20480
1712967172364.588, 16384
1712967172662.780, 20480
1712967172966.112, 20480
1712967173273.315, 20480
1712967173583.504, 20480
1712967173896.031, 20480
1712967174209.267, 20480
1712967174523.769, 20480
1712967174838.594, 20480
1712967175153.904, 20480
1712967175469.034, 20480
1712967175785.568, 20480
1712967176101.854, 20480
1712967176418.384, 20480
1712967176734.865, 20480
1712967177051.057, 20480
1712967177367.567, 20480
1712967177683.553, 16384
1712967177980.933, 20480
1712967178284.692, 20480
1712967178592.174, 20480
1712967178902.361, 20480
1712967179214.700, 20480
1712967179528.024, 20480
1712967179842.456, 20480
1712967180157.794, 20480
1712967180472.894, 20480
1712967180788.297, 20480
1712967181104.390, 20480
1712967181420.715, 20480
1712967181737.129, 20480
1712967182053.494, 20480
1712967182369.820, 20480
1712967182685.758, 20480
1712967183001.799, 20480
1712967183317.964, 16384
1712967183616.467, 20480
1712967183919.913, 20480
1712967184227.442, 20480
1712967184537.791, 20480
1712967184849.859, 20480
1712967185163.395, 20480
1712967185477.894, 20480
1712967185793.349, 20480
1712967186108.418, 20480
1712967186423.855, 20480
1712967186740.086, 20480
1712967187056.251, 19196
1712967187353.454, 15100
1712967187353.535, 15100
1712967187353.591, 15100
1712967187353.650, 15100
