time, lambda, packet_interval
0.000, 8.950, 111.000
4694.184, 8.015, 124.000
4819.506, 7.361, 135.000
4955.889, 6.702, 149.000
5106.435, 6.242, 160.000
5267.508, 5.519, 181.000
5449.509, 5.013, 199.000
5650.053, 4.459, 224.000
5875.333, 4.072, 245.000
6121.514, 3.800, 263.000
6385.444, 3.610, 277.000
6663.635, 3.477, 287.000
6951.959, 3.184, 314.000
7267.348, 2.979, 335.000
7603.716, 3.035, 329.000
7933.940, 3.075, 325.000
8260.303, 3.102, 322.000
8583.738, 3.122, 320.000
8905.159, 3.135, 318.000
9224.285, 3.145, 318.000
9543.608, 3.151, 317.000
9862.119, 3.156, 316.000
10179.604, 3.159, 316.000
10496.944, 3.161, 316.000
10814.454, 3.163, 316.000
11131.831, 3.164, 316.000
11448.912, 3.165, 315.000
11765.268, 3.165, 315.000
12081.511, 3.166, 315.000
12397.940, 3.166, 315.000
12714.375, 3.166, 315.000
13030.599, 3.166, 315.000
13346.923, 3.166, 315.000
13663.600, 3.167, 315.000
13980.319, 3.167, 315.000
14296.262, 3.167, 315.000
14612.470, 3.167, 315.000
14928.810, 3.167, 315.000
15245.006, 3.167, 315.000
15561.634, 3.167, 315.000
15878.126, 3.167, 315.000
16194.496, 3.167, 315.000
16511.138, 3.167, 315.000
16827.269, 3.167, 315.000
17143.774, 3.167, 315.000
17459.791, 3.167, 315.000
17776.146, 3.167, 315.000
18092.482, 3.167, 315.000
18408.766, 3.167, 315.000
18725.320, 3.167, 315.000
19041.875, 3.167, 315.000
19358.119, 3.167, 315.000
19674.536, 3.167, 315.000
19990.777, 3.167, 315.000
20306.762, 3.167, 315.000
20623.015, 3.167, 315.000
20939.456, 3.167, 315.000
21255.490, 3.167, 315.000
21571.992, 3.167, 315.000
21888.240, 3.167, 315.000
22204.702, 3.167, 315.000
22521.061, 3.167, 315.000
22837.144, 3.167, 315.000
23153.361, 3.167, 315.000
23469.874, 3.167, 315.000
23786.135, 3.167, 315.000
24102.632, 3.167, 315.000
24419.212, 3.167, 315.000
24735.476, 3.167, 315.000
25051.978, 3.167, 315.000
25368.006, 3.167, 315.000
25684.164, 3.167, 315.000
26000.388, 3.167, 315.000
26317.084, 3.167, 315.000
26633.625, 3.167, 315.000
26949.706, 3.167, 315.000
27266.111, 3.167, 315.000
27582.608, 3.167, 315.000
27899.273, 3.167, 315.000
28215.620, 3.167, 315.000
28531.877, 3.167, 315.000
28848.155, 3.167, 315.000
29164.477, 3.167, 315.000
29480.634, 3.167, 315.000
29796.982, 3.167, 315.000
30113.296, 3.167, 315.000
30429.794, 3.167, 315.000
30746.335, 3.167, 315.000
31063.016, 3.167, 315.000
31379.109, 3.367, 297.000
31677.367, 3.307, 302.000
31980.862, 3.265, 306.000
32288.144, 3.235, 309.000
32598.801, 3.215, 311.000
32911.071, 3.200, 312.000
