time, lambda, packet_interval
0.000, 13.530, 73.000
9678.453, 16.207, 61.000
9740.423, 18.116, 55.000
9796.236, 19.835, 50.000
9847.322, 20.381, 49.000
9897.313, 20.373, 49.000
9947.179, 19.866, 50.000
9997.805, 18.909, 52.000
10050.518, 17.048, 58.000
10109.255, 15.373, 65.000
10175.240, 13.366, 74.000
10250.384, 11.059, 90.000
10341.375, 8.484, 117.000
10459.524, 6.165, 162.000
10622.789, 3.079, 324.000
10947.662, 0.301, 3324.000
14272.874, 4.301, 232.000
14505.545, 7.901, 126.000
14632.530, 10.641, 93.000
14726.450, 12.107, 82.000
14809.219, 13.426, 74.000
14883.968, 14.113, 70.000
14954.991, 14.232, 70.000
15025.825, 13.839, 72.000
15099.028, 12.485, 80.000
15180.223, 11.266, 88.000
15269.346, 9.670, 103.000
15373.519, 7.733, 129.000
15503.801, 5.990, 166.000
15671.110, 3.921, 255.000
15927.564, 2.058, 485.000
16413.672, 0.883, 1132.000
17546.893, 0.824, 1213.000
18761.324, 2.772, 360.000
19122.454, 4.525, 221.000
19344.634, 6.102, 163.000
19508.661, 7.522, 132.000
19641.930, 8.300, 120.000
19762.933, 8.500, 117.000
19881.046, 8.680, 115.000
19997.359, 7.842, 127.000
20125.436, 7.088, 141.000
20268.101, 5.909, 169.000
20438.064, 4.848, 206.000
20644.772, 3.393, 294.000
20940.086, 2.084, 479.000
21420.344, 1.406, 711.000
22132.382, 1.295, 772.000
22905.350, 2.195, 455.000
23361.330, 3.506, 285.000
23647.470, 4.685, 213.000
23861.700, 5.247, 190.000
24052.483, 5.752, 173.000
24226.474, 6.207, 161.000
24388.746, 5.616, 178.000
24568.129, 5.085, 196.000
24765.292, 4.106, 243.000
25009.466, 3.226, 310.000
25320.965, 2.433, 411.000
25732.863, 1.720, 581.000
26314.840, 1.578, 633.000
26948.726, 2.450, 408.000
27357.862, 3.735, 267.000
27626.304, 4.391, 227.000
27854.439, 4.982, 200.000
28055.858, 5.514, 181.000
28238.117, 4.993, 200.000
28439.674, 4.523, 221.000
28661.671, 4.101, 243.000
28905.629, 3.721, 268.000
29175.008, 2.879, 347.000
29523.102, 2.621, 381.000
29905.150, 2.389, 418.000
30324.269, 2.180, 458.000
30783.364, 2.992, 334.000
31118.319, 3.723, 268.000
31387.569, 4.381, 228.000
31616.835, 3.972, 251.000
31869.349, 3.605, 277.000
32147.540, 3.275, 305.000
32453.671, 2.977, 335.000
32790.067, 2.710, 369.000
33160.356, 2.469, 405.000
33566.600, 2.252, 444.000
34011.841, 3.057, 327.000
34340.235, 3.781, 264.000
34605.396, 4.433, 225.000
34831.696, 5.020, 199.000
35031.738, 4.548, 219.000
35251.938, 4.123, 242.000
35495.090, 3.741, 267.000
35763.302, 2.896, 345.000
36109.346, 2.637, 379.000
36489.553, 2.403, 416.000
36906.793, 2.193, 456.000
37363.830, 3.004, 332.000
37697.057, 3.733, 267.000
37965.270, 4.390, 227.000
38193.641, 3.981, 251.000
38445.954, 3.613, 276.000
38722.938, 3.282, 304.000
39028.068, 2.983, 335.000
39364.445, 2.715, 368.000
39733.414, 2.474, 404.000
40138.934, 2.256, 443.000
40583.242, 3.061, 326.000
40910.348, 3.784, 264.000
41175.567, 4.436, 225.000
41401.910, 5.022, 199.000
41602.144, 4.550, 219.000
41822.226, 4.125, 242.000
42065.661, 3.743, 267.000
42334.156, 2.898, 345.000
42680.451, 2.639, 378.000
43059.889, 2.405, 415.000
43476.171, 2.194, 455.000
43932.509, 3.005, 332.000
44266.038, 3.734, 267.000
44534.222, 4.391, 227.000
44762.237, 3.982, 251.000
45014.516, 3.614, 276.000
45291.688, 3.282, 304.000
45597.401, 2.984, 335.000
45933.682, 2.716, 368.000
46302.933, 2.474, 404.000
46708.177, 2.257, 443.000
47152.645, 3.061, 326.000
47480.142, 3.785, 264.000
47745.139, 4.436, 225.000
47971.413, 4.023, 248.000
48220.630, 3.650, 273.000
48494.741, 3.315, 301.000
48796.809, 3.014, 331.000
49128.676, 2.743, 364.000
49494.093, 2.498, 400.000
49895.033, 3.278, 305.000
50201.113, 3.981, 251.000
50453.118, 3.613, 276.000
50730.176, 3.281, 304.000
51035.082, 2.983, 335.000
51371.545, 2.715, 368.000
51740.437, 3.473, 287.000
52028.796, 3.156, 316.000
52346.029, 2.870, 348.000
52695.145, 3.613, 276.000
52972.129, 3.282, 304.000
53277.745, 2.984, 335.000
53613.985, 3.715, 269.000
53884.604, 3.374, 296.000
54182.226, 3.067, 326.000
54509.475, 2.790, 358.000
54868.676, 3.541, 282.000
55151.951, 3.217, 310.000
55463.212, 2.925, 341.000
55805.188, 3.663, 273.000
56079.246, 3.326, 300.000
56380.883, 3.024, 330.000
56711.977, 2.751, 363.000
57075.941, 3.506, 285.000
57362.292, 3.186, 313.000
57676.505, 2.897, 345.000
58022.861, 3.637, 274.000
58298.556, 3.304, 302.000
58601.905, 3.003, 332.000
58935.183, 3.733, 267.000
59203.527, 3.390, 295.000
59499.797, 3.081, 324.000
