time, lambda, packet_interval
0.000, 15.400, 64.000
36903.523, 18.920, 52.000
36956.220, 20.936, 47.000
37004.005, 20.949, 47.000
37051.692, 20.959, 47.000
37099.403, 20.167, 49.000
37149.375, 18.734, 53.000
37203.215, 16.787, 59.000
37263.036, 13.630, 73.000
37336.874, 10.304, 97.000
37434.926, 7.643, 130.000
37565.893, 4.714, 212.000
37778.501, 2.371, 421.000
38200.477, 0.497, 2011.000
40212.375, 4.598, 217.000
40430.207, 7.078, 141.000
40572.128, 9.063, 110.000
40682.847, 9.850, 101.000
40784.664, 9.680, 103.000
40888.769, 9.544, 104.000
40993.600, 7.835, 127.000
41121.276, 6.468, 154.000
41276.193, 4.575, 218.000
41494.814, 3.060, 326.000
41821.656, 1.848, 541.000
42363.682, 1.678, 595.000
42959.441, 1.543, 648.000
43608.397, 3.034, 329.000
43938.344, 5.027, 198.000
44137.517, 5.822, 171.000
44309.607, 6.457, 154.000
44464.503, 5.366, 186.000
44651.590, 4.493, 222.000
44874.797, 3.794, 263.000
45139.012, 2.435, 410.000
45550.143, 2.148, 465.000
46016.175, 1.919, 521.000
46537.736, 3.335, 299.000
46837.591, 4.468, 223.000
47061.609, 5.374, 186.000
47248.635, 4.499, 222.000
47471.598, 3.800, 263.000
47735.252, 3.240, 308.000
48044.015, 2.792, 358.000
48403.026, 2.433, 410.000
48814.147, 2.147, 465.000
49280.141, 3.517, 284.000
49564.789, 4.614, 216.000
49781.655, 3.891, 256.000
50038.590, 3.313, 301.000
50340.499, 2.850, 350.000
50691.569, 2.480, 403.000
51096.054, 2.184, 457.000
51554.252, 3.547, 281.000
51836.550, 4.638, 215.000
52052.848, 3.910, 255.000
52309.473, 3.328, 300.000
52610.843, 2.863, 349.000
52960.837, 2.490, 401.000
53364.612, 3.792, 263.000
53628.805, 4.834, 206.000
53836.153, 4.067, 245.000
54082.516, 3.454, 289.000
54372.885, 2.963, 337.000
54711.115, 2.570, 389.000
55101.513, 2.256, 443.000
55545.657, 3.605, 277.000
55823.783, 4.684, 213.000
56037.845, 3.947, 253.000
56292.388, 3.358, 297.000
56590.625, 2.886, 346.000
56937.900, 2.509, 398.000
57337.286, 2.207, 453.000
57791.418, 3.566, 280.000
58072.619, 4.653, 214.000
58288.015, 3.922, 254.000
58542.747, 3.338, 299.000
58842.648, 2.870, 348.000
59191.863, 2.496, 400.000
59593.206, 3.797, 263.000
59857.515, 3.238, 308.000
60166.947, 2.790, 358.000
60526.164, 4.032, 248.000
60775.324, 3.426, 291.000
61067.324, 2.940, 340.000
61408.805, 2.552, 391.000
61801.061, 3.842, 260.000
62062.234, 3.274, 305.000
62368.094, 2.819, 354.000
62723.197, 4.055, 246.000
62970.436, 3.444, 290.000
63261.421, 2.955, 338.000
63601.001, 2.564, 389.000
63991.276, 3.851, 259.000
64251.180, 3.281, 304.000
64556.370, 2.825, 353.000
64910.383, 4.060, 246.000
65157.493, 3.448, 290.000
65448.604, 2.958, 338.000
65788.065, 2.567, 389.000
66178.227, 3.853, 259.000
66438.479, 3.283, 304.000
66743.590, 2.826, 353.000
67097.840, 4.061, 246.000
67344.819, 3.449, 289.000
67635.251, 2.959, 337.000
67973.587, 2.567, 389.000
68363.578, 3.854, 259.000
68623.805, 3.283, 304.000
68929.029, 2.826, 353.000
69283.026, 4.061, 246.000
69530.488, 3.449, 289.000
69820.521, 2.959, 337.000
70158.753, 2.567, 389.000
70549.014, 3.854, 259.000
70809.290, 3.283, 304.000
71114.677, 2.826, 353.000
71468.760, 4.061, 246.000
71715.919, 3.449, 289.000
72006.192, 2.959, 337.000
72344.641, 2.567, 389.000
72734.597, 3.854, 259.000
72994.828, 3.283, 304.000
73300.337, 2.826, 353.000
73654.761, 2.461, 406.000
74062.114, 3.769, 265.000
74328.520, 4.815, 207.000
74536.921, 4.052, 246.000
74784.049, 3.442, 290.000
75075.247, 2.953, 338.000
75414.620, 2.563, 390.000
75805.784, 2.250, 444.000
76251.257, 3.600, 277.000
76529.553, 4.680, 213.000
76743.796, 3.944, 253.000
76998.108, 3.355, 298.000
77297.239, 2.884, 346.000
77644.302, 2.507, 398.000
78043.550, 3.806, 262.000
78306.445, 3.245, 308.000
78615.984, 2.796, 357.000
78974.198, 2.437, 410.000
79385.337, 3.749, 266.000
79652.430, 4.799, 208.000
79861.535, 4.040, 247.000
80109.589, 3.432, 291.000
80401.665, 2.945, 339.000
80741.753, 2.556, 391.000
81134.091, 2.245, 445.000
81580.158, 3.596, 278.000
81859.378, 4.677, 213.000
82073.619, 3.941, 253.000
82327.477, 3.353, 298.000
82626.714, 2.883, 346.000
82973.730, 2.506, 399.000
83373.802, 3.805, 262.000
83637.055, 3.244, 308.000
83946.177, 2.795, 357.000
84304.277, 4.036, 247.000
84552.362, 3.429, 291.000
84844.721, 2.943, 339.000
85184.910, 2.554, 391.000
85576.797, 3.844, 260.000
85837.827, 3.275, 305.000
86144.098, 2.820, 354.000
86498.926, 4.056, 246.000
86745.898, 3.445, 290.000
87037.241, 2.956, 338.000
87376.554, 2.565, 389.000
87766.407, 3.852, 259.000
88026.628, 3.281, 304.000
88331.846, 2.825, 353.000
88686.010, 4.060, 246.000
88933.433, 3.448, 290.000
89224.714, 2.958, 338.000
89563.938, 2.567, 389.000
89954.259, 3.853, 259.000
90214.454, 3.283, 304.000
90519.375, 2.826, 353.000
90874.009, 4.061, 246.000
91121.566, 3.449, 289.000
91411.616, 2.959, 337.000
91749.818, 2.567, 389.000
92140.030, 3.854, 259.000
92399.914, 3.283, 304.000
92705.402, 2.826, 353.000
93059.701, 2.461, 406.000
93466.783, 3.769, 265.000
93732.782, 4.815, 207.000
93941.017, 4.052, 246.000
94188.404, 3.442, 290.000
94479.650, 2.953, 338.000
94818.659, 2.563, 390.000
95210.209, 2.250, 444.000
95655.162, 3.600, 277.000
95933.340, 4.680, 213.000
96147.534, 3.944, 253.000
96401.588, 3.355, 298.000
96700.615, 2.884, 346.000
97047.788, 2.507, 398.000
97447.523, 3.806, 262.000
97710.696, 3.245, 308.000
