time (ms), buffer_size
1712967000963.462, 4096
1712967001034.800, 8192
1712967001100.867, 12288
1712967001169.010, 12288
1712967001238.152, 16384
1712967001319.170, 20480
1712967001416.345, 24576
1712967001537.505, 24576
1712967001674.576, 28672
1712967001847.494, 28672
1712967002045.486, 32768
1712967002419.780, 28672
1712967002706.817, 32768
1712967003235.037, 28672
1712967003558.378, 28672
1712967003829.537, 28672
1712967004080.676, 28672
1712967004321.690, 28672
1712967004559.093, 32768
1712967005002.511, 28672
1712967005307.758, 28672
1712967005572.020, 28672
1712967005820.304, 32768
1712967006281.767, 28672
1712967006591.170, 28672
1712967006857.149, 28672
1712967007105.166, 28672
1712967007345.561, 32768
1712967007793.885, 28672
1712967008100.945, 28672
1712967008366.108, 28672
1712967008614.314, 32768
1712967009075.735, 28672
1712967009386.197, 28672
1712967009652.519, 28672
1712967009900.814, 32768
1712967010363.152, 28672
1712967010673.416, 28672
1712967010939.849, 28672
1712967011188.363, 28672
1712967011428.648, 32768
1712967011876.899, 28672
1712967012184.161, 28672
1712967012449.320, 28672
1712967012697.580, 32768
1712967013158.953, 28672
1712967013468.840, 28672
1712967013735.026, 28672
1712967013983.196, 28672
1712967014223.577, 32768
1712967014671.864, 28672
1712967014978.873, 28672
1712967015243.934, 28672
1712967015492.459, 32768
1712967015953.820, 28672
1712967016264.076, 28672
1712967016530.231, 28672
1712967016778.510, 32768
1712967017240.925, 28672
1712967017551.263, 28672
1712967017817.391, 28672
1712967018065.553, 28672
1712967018306.071, 32768
1712967018754.459, 28672
1712967019061.532, 28672
1712967019326.440, 28672
1712967019574.966, 32768
1712967020036.622, 28672
1712967020346.772, 28672
1712967020613.075, 28672
1712967020861.559, 32768
1712967021323.749, 28672
1712967021633.908, 28672
1712967021900.174, 28672
1712967022148.395, 28672
1712967022388.629, 32768
1712967022836.993, 28672
1712967023144.641, 28672
1712967023410.001, 28672
1712967023658.540, 32768
1712967024119.641, 28672
1712967024429.913, 28672
1712967024696.195, 28672
1712967024944.586, 28672
1712967025185.014, 32768
1712967025633.248, 28672
1712967025940.370, 28672
1712967026205.686, 28672
1712967026453.922, 32768
1712967026915.022, 28672
1712967027225.384, 28672
1712967027491.637, 28672
1712967027740.232, 32768
1712967028202.617, 28672
1712967028513.061, 28672
1712967028779.568, 28672
1712967029027.863, 28672
1712967029268.263, 32768
1712967029716.681, 28672
1712967030023.970, 28672
1712967030289.121, 28672
1712967030537.564, 32768
1712967030998.624, 28672
1712967031308.863, 28672
1712967031575.289, 28672
1712967031823.511, 28672
1712967032063.770, 32768
1712967032511.956, 28672
1712967032819.357, 28672
1712967033084.449, 28672
1712967033332.866, 32768
1712967033794.369, 28672
1712967034104.796, 28672
1712967034371.230, 28672
1712967034619.380, 32768
1712967035081.668, 28672
1712967035391.651, 28672
1712967035657.726, 28672
1712967035905.958, 28672
1712967036146.224, 32768
1712967036594.564, 28672
1712967036901.676, 28672
1712967037166.950, 28672
1712967037415.034, 32768
1712967037876.162, 28672
1712967038186.440, 28672
1712967038452.547, 28672
1712967038700.963, 32768
1712967039163.412, 28672
1712967039473.760, 28672
1712967039740.101, 28672
1712967039988.524, 28672
1712967040228.964, 32768
1712967040677.375, 28672
1712967040984.817, 28672
1712967041250.073, 28672
1712967041498.514, 32768
1712967041960.182, 28672
1712967042270.546, 28672
1712967042537.003, 28672
1712967042785.398, 28672
1712967043025.699, 32768
1712967043473.995, 28672
1712967043781.452, 28672
1712967044046.629, 28672
1712967044294.742, 32768
1712967044756.004, 28672
1712967045066.199, 28672
1712967045332.306, 28672
1712967045580.830, 32768
1712967046042.921, 28672
1712967046353.196, 28672
1712967046619.331, 28672
1712967046867.415, 28672
1712967047107.588, 32768
1712967047555.949, 28672
1712967047863.182, 28672
1712967048128.393, 28672
1712967048376.518, 32768
1712967048837.743, 28672
1712967049148.314, 28672
1712967049414.585, 28672
1712967049662.810, 28672
1712967049902.897, 32768
1712967050351.010, 28672
1712967050658.225, 28672
1712967050923.291, 28672
1712967051171.539, 32768
1712967051633.098, 28672
1712967051943.254, 28672
1712967052209.426, 28672
1712967052457.967, 32768
1712967052920.220, 28672
1712967053230.499, 28672
1712967053496.923, 28672
1712967053745.220, 28672
1712967053985.415, 32768
1712967054433.749, 28672
1712967054740.822, 28672
1712967055005.928, 28672
1712967055253.883, 32768
1712967055715.193, 28672
1712967056025.030, 28672
1712967056291.388, 28672
1712967056539.896, 32768
1712967057002.053, 28672
1712967057312.088, 28672
1712967057578.356, 28672
1712967057826.185, 28672
1712967058066.206, 32768
1712967058514.256, 28672
1712967058821.166, 28672
1712967059086.351, 28672
1712967059334.396, 32768
1712967059795.525, 28672
1712967060105.792, 28672
1712967060371.894, 28672
1712967060619.891, 28672
1712967060860.843, 32768
1712967061309.109, 28672
1712967061616.228, 28672
1712967061881.309, 28672
1712967062129.465, 32768
1712967062590.690, 28672
1712967062900.720, 28672
1712967063167.069, 28672
1712967063415.327, 32768
1712967063877.747, 28672
1712967064188.088, 28672
1712967064454.636, 28672
1712967064702.992, 28672
1712967064943.247, 32768
1712967065391.388, 28672
1712967065698.836, 28672
1712967065963.925, 28672
1712967066212.113, 32768
1712967066673.390, 28672
1712967066983.733, 28672
1712967067249.890, 28672
1712967067498.251, 32768
1712967067960.634, 28672
1712967068270.808, 28672
1712967068537.243, 28672
1712967068785.506, 28672
1712967069025.431, 31484
1712967069335.402, 27388
1712967069335.469, 27388
1712967069335.521, 27388
1712967069335.574, 27388
