time, lambda, packet_interval
0.000, 14.150, 70.000
10069.006, 15.225, 65.000
10135.102, 14.763, 67.000
10203.220, 14.531, 68.000
10272.395, 12.416, 80.000
10353.393, 10.358, 96.000
10450.567, 8.329, 120.000
10571.673, 7.314, 136.000
10708.790, 5.807, 172.000
10881.559, 5.054, 197.000
11079.712, 2.677, 373.000
11453.979, 3.488, 286.000
11741.015, 1.894, 527.000
12269.252, 3.097, 322.000
12592.590, 3.699, 270.000
12863.773, 3.999, 250.000
13114.890, 4.150, 240.000
13355.899, 4.225, 236.000
13593.359, 2.262, 442.000
14036.853, 3.281, 304.000
14341.979, 3.791, 263.000
14606.228, 4.045, 247.000
14854.554, 2.173, 460.000
15315.976, 3.236, 308.000
15625.378, 3.768, 265.000
15891.259, 4.034, 247.000
16139.384, 4.167, 239.000
16379.840, 2.234, 447.000
16828.101, 3.267, 306.000
17135.192, 3.783, 264.000
17400.293, 4.042, 247.000
17648.531, 2.171, 460.000
18109.986, 3.235, 309.000
18420.525, 3.768, 265.000
18686.714, 4.034, 247.000
18935.151, 2.167, 461.000
19397.473, 3.233, 309.000
19707.639, 3.767, 265.000
19974.160, 4.033, 247.000
20222.564, 4.167, 239.000
20462.979, 2.233, 447.000
20911.118, 3.267, 306.000
21218.381, 3.783, 264.000
21483.535, 4.042, 247.000
21731.793, 2.171, 460.000
22193.165, 3.235, 309.000
22503.059, 3.768, 265.000
22769.377, 4.034, 247.000
23017.409, 4.167, 239.000
23257.903, 2.233, 447.000
23706.074, 3.267, 306.000
24013.079, 3.783, 264.000
24278.159, 4.042, 247.000
24526.786, 2.171, 460.000
24988.026, 3.235, 309.000
25298.288, 3.768, 265.000
25564.454, 4.034, 247.000
25812.713, 2.167, 461.000
26275.262, 3.233, 309.000
26585.470, 3.767, 265.000
26851.602, 4.033, 247.000
27099.765, 4.167, 239.000
27340.408, 2.233, 447.000
27788.701, 3.267, 306.000
28095.760, 3.783, 264.000
28360.650, 4.042, 247.000
28609.286, 2.171, 460.000
29070.857, 3.235, 309.000
29381.004, 3.768, 265.000
29647.330, 4.034, 247.000
29895.819, 2.167, 461.000
30357.973, 3.233, 309.000
30668.129, 3.767, 265.000
30934.373, 4.033, 247.000
31182.590, 4.167, 239.000
31422.967, 2.233, 447.000
31871.312, 3.267, 306.000
32178.979, 3.783, 264.000
32444.207, 4.042, 247.000
32692.875, 2.171, 460.000
33153.854, 3.235, 309.000
33464.142, 3.768, 265.000
33730.544, 4.034, 247.000
33978.801, 4.167, 239.000
34219.269, 2.233, 447.000
34667.453, 3.267, 306.000
34974.580, 3.783, 264.000
35239.862, 4.042, 247.000
35488.129, 2.171, 460.000
35949.325, 3.235, 309.000
36259.602, 3.768, 265.000
36525.863, 4.034, 247.000
36774.564, 2.167, 461.000
37236.919, 3.233, 309.000
37547.396, 3.767, 265.000
37813.816, 4.033, 247.000
38062.076, 4.167, 239.000
38302.593, 2.233, 447.000
38751.009, 3.267, 306.000
39058.174, 3.783, 264.000
39323.316, 4.042, 247.000
39571.832, 2.171, 460.000
40032.810, 3.235, 309.000
40343.113, 3.768, 265.000
40609.541, 4.034, 247.000
40857.729, 4.167, 239.000
41098.022, 2.233, 447.000
41546.205, 3.267, 306.000
41853.688, 3.783, 264.000
42118.655, 4.042, 247.000
42367.112, 2.171, 460.000
42828.694, 3.235, 309.000
43139.039, 3.768, 265.000
43405.578, 4.034, 247.000
43653.576, 2.167, 461.000
44115.863, 3.233, 309.000
44425.837, 3.767, 265.000
44691.937, 4.033, 247.000
44940.124, 4.167, 239.000
45180.435, 2.233, 447.000
45628.769, 3.267, 306.000
45936.088, 3.783, 264.000
46201.099, 4.042, 247.000
46449.243, 2.171, 460.000
46910.380, 3.235, 309.000
47220.664, 3.768, 265.000
47486.765, 4.034, 247.000
47735.300, 2.167, 461.000
48197.666, 3.233, 309.000
48507.943, 3.767, 265.000
48774.446, 4.033, 247.000
49022.772, 4.167, 239.000
49263.300, 2.233, 447.000
49711.613, 3.267, 306.000
50019.023, 3.783, 264.000
50284.297, 4.042, 247.000
50532.843, 2.171, 460.000
50994.507, 3.235, 309.000
51304.773, 3.768, 265.000
51571.317, 4.034, 247.000
51819.614, 4.167, 239.000
52059.927, 2.233, 447.000
52508.214, 3.267, 306.000
52815.701, 3.783, 264.000
53080.841, 4.042, 247.000
53328.949, 2.171, 460.000
53790.218, 3.235, 309.000
54100.407, 3.768, 265.000
54366.525, 4.034, 247.000
54615.161, 2.167, 461.000
55077.133, 3.233, 309.000
55387.397, 3.767, 265.000
55653.660, 4.033, 247.000
55901.615, 4.167, 239.000
56141.907, 2.233, 447.000
56590.298, 3.267, 306.000
56897.384, 3.783, 264.000
57162.624, 4.042, 247.000
57410.713, 2.171, 460.000
57871.958, 3.235, 309.000
58182.649, 3.768, 265.000
58448.804, 4.034, 247.000
58697.033, 4.167, 239.000
58937.146, 2.233, 447.000
59385.211, 3.267, 306.000
59692.443, 3.783, 264.000
59957.585, 4.042, 247.000
60205.872, 2.171, 460.000
60667.325, 3.235, 309.000
60977.458, 3.768, 265.000
61243.635, 4.034, 247.000
61492.304, 2.167, 461.000
61954.429, 3.233, 309.000
62264.720, 3.767, 265.000
62531.258, 4.033, 247.000
62779.428, 4.167, 239.000
63019.662, 2.233, 447.000
63467.942, 3.267, 306.000
63775.001, 3.783, 264.000
